,,,,Global,CHN,IND,MEA,NAM,NEE,SEA,EUR,LAM,SSA,OPA,,,,
Capacity Factor,Biomass,GW,2030,43%,61%,11%,10%,43%,59%,70%,34%,21%,9%,76%,,,,
Capacity Factor,Nuclear,GW,2017,79%,86%,80%,170%,97%,73%,-,80%,78%,91%,40%,,,,
Capacity Factor,Nuclear,GW,2018,80%,82%,83%,88%,97%,81%,-,80%,80%,86%,43%,,,,
Capacity Factor,Nuclear,GW,2019,76%,87%,75%,77%,92%,78%,-,76%,77%,83%,38%,,,,
Capacity Factor,Nuclear,GW,2020,74%,83%,68%,37%,92%,75%,0%,71%,62%,71%,40%,,,,
Capacity Factor,Nuclear,GW,2021,79%,81%,49%,51%,97%,68%,0%,87%,74%,73%,48%,,,,
Capacity Factor,Nuclear,GW,2022,71%,78%,61%,43%,94%,59%,0%,67%,71%,62%,44%,,,,
Capacity Factor,Nuclear,GW,2023,78%,81%,61%,75%,89%,72%,0%,88%,76%,74%,43%,,,,
Capacity Factor,Nuclear,GW,2024,77%,81%,62%,79%,90%,73%,0%,84%,76%,74%,44%,,,,
Capacity Factor,Nuclear,GW,2025,77%,81%,62%,65%,91%,72%,0%,81%,63%,74%,50%,,,,
Capacity Factor,Nuclear,GW,2026,77%,80%,62%,75%,90%,66%,0%,80%,72%,73%,55%,,,,
Capacity Factor,Nuclear,GW,2027,75%,81%,52%,76%,90%,63%,0%,77%,74%,74%,59%,,,,
Capacity Factor,Nuclear,GW,2028,76%,81%,57%,68%,90%,63%,0%,76%,73%,74%,63%,,,,
Capacity Factor,Nuclear,GW,2029,76%,76%,61%,69%,89%,63%,0%,74%,72%,74%,70%,,,,
Capacity Factor,Nuclear,GW,2030,76%,74%,62%,70%,89%,65%,0%,73%,72%,73%,77%,,,,
,,,,,,,,,,,,,,,,,,
Growth Rates,,,,,,,,,,,,,,,,,,
Forecast Annual Growth Rate,Solar Generation,%,2025,22%,25%,19%,21%,27%,31%,12%,18%,20%,19%,19%,,,,
Forecast Annual Growth Rate,Solar Generation,%,2026,18%,21%,23%,18%,19%,28%,11%,14%,18%,23%,15%,,,,
Forecast Annual Growth Rate,Solar Generation,%,2027,17%,17%,32%,29%,15%,25%,9%,14%,15%,26%,11%,,,,
Forecast Annual Growth Rate,Solar Generation,%,2028,15%,15%,27%,18%,14%,26%,13%,13%,13%,26%,11%,,,,
Forecast Annual Growth Rate,Solar Generation,%,2029,14%,13%,17%,16%,13%,16%,33%,11%,12%,17%,12%,,,,
Forecast Annual Growth Rate,Solar Generation,%,2030,12%,10%,12%,16%,11%,11%,47%,9%,11%,13%,9%,,,,
Forecast Annual Growth Rate,Wind Generation,%,2025,12%,11%,14%,15%,10%,37%,26%,7%,22%,40%,38%,,,,
Forecast Annual Growth Rate,Wind Generation,%,2026,11%,10%,5%,16%,10%,35%,21%,8%,12%,20%,34%,,,,
Forecast Annual Growth Rate,Wind Generation,%,2027,9%,9%,5%,17%,8%,19%,20%,8%,7%,7%,21%,,,,
Forecast Annual Growth Rate,Wind Generation,%,2028,9%,9%,11%,20%,8%,13%,20%,6%,7%,10%,17%,,,,
Forecast Annual Growth Rate,Wind Generation,%,2029,11%,12%,17%,24%,8%,15%,17%,7%,7%,14%,20%,,,,
Forecast Annual Growth Rate,Wind Generation,%,2030,11%,14%,23%,22%,8%,12%,17%,8%,7%,11%,15%,,,,
Forecast Annual Growth Rate,Hydropower Gen,%,2025,4%,5%,22%,2%,1%,0%,4%,0%,2%,18%,0%,,,,
Forecast Annual Growth Rate,Hydropower Gen,%,2026,4%,5%,17%,1%,1%,3%,6%,-2%,3%,19%,6%,,,,
Forecast Annual Growth Rate,Hydropower Gen,%,2027,5%,3%,7%,9%,0%,15%,13%,7%,3%,10%,7%,,,,
Forecast Annual Growth Rate,Hydropower Gen,%,2028,3%,3%,3%,4%,1%,3%,7%,1%,2%,6%,4%,,,,
Forecast Annual Growth Rate,Hydropower Gen,%,2029,2%,1%,13%,5%,1%,1%,3%,0%,1%,7%,2%,,,,
Forecast Annual Growth Rate,Hydropower Gen,%,2030,2%,1%,8%,4%,1%,1%,6%,0%,0%,7%,3%,,,,
Forecast Annual Growth Rate,Geothermal Gen,%,2025,8%,0%,26711%,4%,1%,0%,13%,1%,4%,37%,3%,,,,
Forecast Annual Growth Rate,Geothermal Gen,%,2026,14%,220%,2546%,10%,5%,46%,16%,6%,4%,59%,6%,,,,
Forecast Annual Growth Rate,Geothermal Gen,%,2027,18%,627%,422%,34%,3%,331%,7%,22%,3%,23%,24%,,,,
Forecast Annual Growth Rate,Geothermal Gen,%,2028,19%,164%,93%,58%,3%,118%,3%,21%,-1%,3%,11%,,,,
Forecast Annual Growth Rate,Geothermal Gen,%,2029,13%,54%,98%,36%,7%,25%,0%,7%,-2%,0%,3%,,,,
Forecast Annual Growth Rate,Geothermal Gen,%,2030,10%,22%,60%,17%,12%,16%,0%,11%,-2%,0%,1%,,,,
Forecast Annual Growth Rate,Biomass Generation,%,2025,-10%,-12%,-8%,-21%,-9%,-3%,-4%,-8%,-22%,-24%,0%,,,,
Forecast Annual Growth Rate,Biomass Generation,%,2026,-11%,-3%,18%,-28%,-5%,-6%,-13%,-21%,-23%,-34%,0%,,,,
Forecast Annual Growth Rate,Biomass Generation,%,2027,-2%,6%,24%,3%,-3%,14%,-4%,-8%,-20%,-37%,2%,,,,
Forecast Annual Growth Rate,Biomass Generation,%,2028,3%,8%,-5%,24%,-4%,20%,6%,4%,-11%,-29%,0%,,,,
Forecast Annual Growth Rate,Biomass Generation,%,2029,4%,7%,36%,19%,-2%,13%,6%,5%,-4%,-17%,-2%,,,,
Forecast Annual Growth Rate,Biomass Generation,%,2030,3%,5%,104%,17%,0%,10%,4%,-1%,-2%,1%,-3%,,,,
Forecast Annual Growth Rate,Nuclear Generation,%,2025,0%,0%,0%,4%,0%,-2%,0%,-3%,4%,0%,15%,,,,
Forecast Annual Growth Rate,Nuclear Generation,%,2026,1%,0%,0%,17%,-1%,-6%,0%,-1%,14%,0%,14%,,,,
Forecast Annual Growth Rate,Nuclear Generation,%,2027,0%,1%,4%,5%,0%,-3%,0%,-3%,2%,1%,10%,,,,
Forecast Annual Growth Rate,Nuclear Generation,%,2028,2%,1%,17%,6%,0%,2%,0%,-2%,-1%,1%,11%,,,,
Forecast Annual Growth Rate,Nuclear Generation,%,2029,2%,1%,9%,14%,0%,2%,0%,-1%,-1%,0%,12%,,,,
Forecast Annual Growth Rate,Nuclear Generation,%,2030,3%,6%,2%,13%,0%,2%,0%,0%,0%,0%,10%,,,,
,,,,,,,,,,,,,,,,,,
Primary Climate Path Calculations,,,,,,,,,,,,,,,,,,
Climate Path CAGR,Solar Generation,%,2024-2030,,22.0%,40.0%,50.0%,30.5%,40.0%,40.0%,16.7%,18.0%,24.6%,15.0%,,,,
Climate Path CAGR,Wind Generation,%,2024-2030,,25.0%,25.0%,25.0%,15.0%,40.0%,35.0%,12.0%,14.0%,15.6%,25.0%,,,,
Climate Path CAGR,Hydropower Gen,%,2024-2030,,3.0%,11.0%,4.0%,2.0%,4.0%,7.0%,1.0%,2.0%,11.0%,4.0%,,,,
Climate Path CAGR,Geothermal Gen,%,2024-2030,,121.0%,681.0%,25.0%,7.0%,65.0%,6.0%,11.0%,1.0%,18.0%,8.0%,,,,
Climate Path CAGR,Biomass Generation,%,2024-2030,,5.0%,23.0%,0.0%,-3.0%,8.0%,0.0%,-2.4%,-14.0%,45.9%,0.0%,,,,
Climate Path CAGR,Nuclear Generation,%,2024-2030,,2.0%,5.0%,10.0%,0.0%,-1.0%,0.0%,-2.0%,3.0%,0.0%,12.0%,,,,
,,,,,,,,,,,,,,,,,,
Climate Path CAGR Minus Forecast CAGR,Solar Generation,%,2024-2030,,5.2%,18.5%,30.4%,14.0%,17.4%,20.0%,3.6%,3.4%,4.0%,2.0%,,,,
Climate Path CAGR Minus Forecast CAGR,Wind Generation,%,2024-2030,,14.4%,12.4%,6.2%,6.2%,18.6%,14.7%,4.4%,3.5%,-0.7%,1.0%,,,,
Climate Path CAGR Minus Forecast CAGR,Hydropower Gen,%,2024-2030,,-0.1%,-0.4%,-0.2%,1.2%,0.2%,0.4%,0.1%,0.0%,-0.1%,0.3%,,,,
Climate Path CAGR Minus Forecast CAGR,Geothermal Gen,%,2024-2030,,0.1%,0.0%,-0.4%,1.8%,0.2%,-0.3%,-0.1%,0.2%,-0.4%,0.2%,,,,
Climate Path CAGR Minus Forecast CAGR,Biomass Generation,%,2024-2030,,3.5%,-0.4%,-0.2%,0.8%,0.5%,1.1%,3.0%,0.1%,70.4%,0.5%,,,,
Climate Path CAGR Minus Forecast CAGR,Nuclear Generation,%,2024-2030,,0.5%,-0.1%,0.2%,0.3%,-0.3%,0.0%,-0.3%,0.2%,-0.4%,0.0%,,,,
,,,,,,,,,,,,,,,,,,
Climate Path Annual Growth Rate,Solar Generation,%,2025,,30%,38%,52%,41%,48%,32%,21%,24%,23%,22%,,,,
Climate Path Annual Growth Rate,Solar Generation,%,2026,,27%,42%,48%,33%,45%,31%,17%,21%,27%,17%,,,,
Climate Path Annual Growth Rate,Solar Generation,%,2027,,22%,50%,59%,29%,43%,29%,18%,18%,31%,13%,,,,
Climate Path Annual Growth Rate,Solar Generation,%,2028,,20%,46%,48%,28%,43%,33%,17%,16%,30%,13%,,,,
Climate Path Annual Growth Rate,Solar Generation,%,2029,,18%,36%,47%,27%,34%,53%,14%,15%,21%,14%,,,,
Climate Path Annual Growth Rate,Solar Generation,%,2030,,15%,30%,46%,25%,28%,67%,13%,14%,17%,11%,,,,
Climate Path Annual Growth Rate,Wind Generation,%,2025,,25%,27%,21%,16%,56%,41%,12%,26%,39%,39%,,,,
Climate Path Annual Growth Rate,Wind Generation,%,2026,,24%,18%,22%,16%,53%,36%,13%,15%,19%,35%,,,,
Climate Path Annual Growth Rate,Wind Generation,%,2027,,23%,18%,23%,15%,38%,35%,12%,11%,6%,22%,,,,
Climate Path Annual Growth Rate,Wind Generation,%,2028,,23%,24%,26%,15%,32%,35%,11%,11%,10%,18%,,,,
Climate Path Annual Growth Rate,Wind Generation,%,2029,,26%,29%,30%,14%,33%,32%,12%,11%,13%,21%,,,,
Climate Path Annual Growth Rate,Wind Generation,%,2030,,28%,36%,28%,14%,31%,31%,13%,11%,10%,16%,,,,
Climate Path Annual Growth Rate,Hydropower Gen,%,2025,,5%,22%,1%,2%,1%,5%,0%,2%,18%,1%,,,,
Climate Path Annual Growth Rate,Hydropower Gen,%,2026,,5%,16%,1%,2%,3%,7%,-2%,3%,19%,6%,,,,
Climate Path Annual Growth Rate,Hydropower Gen,%,2027,,3%,6%,9%,1%,15%,13%,7%,3%,10%,8%,,,,
Climate Path Annual Growth Rate,Hydropower Gen,%,2028,,2%,3%,3%,2%,3%,8%,2%,2%,6%,4%,,,,
Climate Path Annual Growth Rate,Hydropower Gen,%,2029,,1%,12%,5%,2%,1%,3%,0%,1%,7%,2%,,,,
Climate Path Annual Growth Rate,Hydropower Gen,%,2030,,1%,8%,4%,2%,2%,7%,0%,0%,7%,4%,,,,
Climate Path Annual Growth Rate,Geothermal Gen,%,2025,,0%,26711%,4%,2%,0%,13%,1%,4%,37%,3%,,,,
Climate Path Annual Growth Rate,Geothermal Gen,%,2026,,221%,2546%,10%,7%,46%,15%,6%,4%,59%,7%,,,,
Climate Path Annual Growth Rate,Geothermal Gen,%,2027,,628%,422%,34%,5%,332%,6%,22%,3%,22%,24%,,,,
Climate Path Annual Growth Rate,Geothermal Gen,%,2028,,164%,93%,57%,5%,119%,2%,21%,-1%,3%,11%,,,,
Climate Path Annual Growth Rate,Geothermal Gen,%,2029,,54%,98%,36%,9%,26%,0%,6%,-2%,0%,3%,,,,
Climate Path Annual Growth Rate,Geothermal Gen,%,2030,,23%,60%,17%,14%,17%,0%,11%,-2%,0%,2%,,,,
Climate Path Annual Growth Rate,Biomass Generation,%,2025,,-9%,-8%,-21%,-8%,-3%,-3%,-5%,-22%,46%,0%,,,,
Climate Path Annual Growth Rate,Biomass Generation,%,2026,,0%,18%,-28%,-4%,-6%,-12%,-18%,-23%,36%,0%,,,,
Climate Path Annual Growth Rate,Biomass Generation,%,2027,,10%,23%,3%,-3%,14%,-3%,-5%,-19%,33%,2%,,,,
Climate Path Annual Growth Rate,Biomass Generation,%,2028,,11%,-6%,24%,-3%,21%,7%,7%,-11%,41%,1%,,,,
Climate Path Annual Growth Rate,Biomass Generation,%,2029,,11%,35%,19%,-1%,13%,7%,8%,-4%,53%,-2%,,,,
Climate Path Annual Growth Rate,Biomass Generation,%,2030,,9%,104%,16%,1%,11%,5%,2%,-2%,71%,-2%,,,,
Climate Path Annual Growth Rate,Nuclear Generation,%,2025,,0%,0%,4%,0%,-2%,0%,-3%,4%,-1%,15%,,,,
Climate Path Annual Growth Rate,Nuclear Generation,%,2026,,1%,0%,18%,0%,-6%,0%,-1%,15%,0%,14%,,,,
Climate Path Annual Growth Rate,Nuclear Generation,%,2027,,2%,4%,5%,0%,-4%,0%,-3%,2%,1%,10%,,,,
Climate Path Annual Growth Rate,Nuclear Generation,%,2028,,1%,17%,6%,0%,2%,0%,-2%,-1%,0%,11%,,,,
Climate Path Annual Growth Rate,Nuclear Generation,%,2029,,2%,9%,15%,0%,2%,0%,-2%,0%,0%,12%,,,,
Climate Path Annual Growth Rate,Nuclear Generation,%,2030,,6%,1%,14%,0%,2%,0%,0%,0%,0%,10%,,,,
,,,,,,,,,,,,,,,,,,
Secondary Climate Path Calculations,,,,,,,,,,,,,,,,,,
Climate Path Electricity Geneneration,Solar,GWh,2025,"  3,087,532.67 ","  923,080.55 ","  198,990.60 ","  156,520.70 ","  625,475.75 ","  42,340.27 ","  79,938.10 ","  516,366.29 ","  168,722.39 ","  34,039.50 ","  342,058.52 ",,,,
Climate Path Electricity Geneneration,Solar,GWh,2026,"  3,931,877.10 ","  1,167,847.56 ","  282,296.22 ","  232,177.32 ","  829,959.50 ","  61,468.55 ","  105,035.38 ","  604,954.96 ","  203,959.29 ","  43,245.41 ","  400,932.91 ",,,,
Climate Path Electricity Geneneration,Solar,GWh,2027,"  4,978,505.17 ","  1,422,530.62 ","  423,690.29 ","  369,420.98 ","  1,074,711.26 ","  87,667.91 ","  135,442.73 ","  714,369.18 ","  240,569.71 ","  56,451.71 ","  453,650.78 ",,,,
Climate Path Electricity Geneneration,Solar,GWh,2028,"  6,258,243.56 ","  1,710,281.61 ","  617,228.05 ","  547,789.54 ","  1,377,176.70 ","  125,506.29 ","  179,589.79 ","  836,105.40 ","  280,052.83 ","  73,296.78 ","  511,216.56 ",,,,
Climate Path Electricity Geneneration,Solar,GWh,2029,"  7,805,713.79 ","  2,024,431.69 ","  837,524.53 ","  804,273.84 ","  1,746,970.80 ","  167,843.49 ","  274,238.50 ","  954,295.90 ","  322,067.71 ","  88,858.80 ","  585,208.52 ",,,,
Climate Path Electricity Geneneration,Solar,GWh,2030,"  9,666,338.60 ","  2,336,501.66 ","  1,090,733.29 ","  1,176,774.96 ","  2,191,500.53 ","  215,147.10 ","  457,054.13 ","  1,075,799.80 ","  367,989.72 ","  103,618.73 ","  651,218.67 ",,,,
Climate Path Electricity Geneneration,Wind,GWh,2025,"  3,038,081.41 ","  1,037,307.70 ","  120,539.99 ","  71,943.55 ","  618,549.48 ","  46,826.61 ","  39,394.43 ","  720,392.26 ","  272,762.88 ","  32,627.94 ","  77,736.58 ",,,,
Climate Path Electricity Geneneration,Wind,GWh,2026,"  3,630,738.24 ","  1,287,420.36 ","  141,930.98 ","  88,074.23 ","  716,389.34 ","  71,868.99 ","  53,593.92 ","  812,914.66 ","  314,922.67 ","  38,785.84 ","  104,837.23 ",,,,
Climate Path Electricity Geneneration,Wind,GWh,2027,"  4,282,921.60 ","  1,585,468.66 ","  167,194.10 ","  108,168.90 ","  820,620.18 ","  98,873.67 ","  72,439.37 ","  911,656.07 ","  349,433.19 ","  41,092.20 ","  127,975.25 ",,,,
Climate Path Electricity Geneneration,Wind,GWh,2028,"  5,060,996.96 ","  1,956,160.40 ","  206,531.59 ","  136,486.34 ","  940,562.08 ","  130,271.42 ","  97,692.65 ","  1,009,425.90 ","  387,419.37 ","  45,050.57 ","  151,396.64 ",,,,
Climate Path Electricity Geneneration,Wind,GWh,2029,"  6,081,239.78 ","  2,464,351.78 ","  267,236.66 ","  177,320.10 ","  1,076,622.57 ","  173,636.49 ","  129,055.86 ","  1,129,077.07 ","  429,187.33 ","  50,926.47 ","  183,825.44 ",,,,
Climate Path Electricity Geneneration,Wind,GWh,2030,"  7,391,759.90 ","  3,158,994.77 ","  362,671.43 ","  226,987.89 ","  1,229,736.39 ","  226,909.37 ","  169,546.02 ","  1,271,216.02 ","  476,318.87 ","  55,923.08 ","  213,456.07 ",,,,
Climate Path Electricity Geneneration,Hydropower,GWh,2025,"  4,555,803.68 ","  1,378,022.53 ","  292,170.83 ","  124,158.24 ","  680,306.76 ","  276,799.59 ","  210,915.82 ","  557,960.13 ","  753,413.57 ","  166,908.01 ","  115,148.20 ",,,,
Climate Path Electricity Geneneration,Hydropower,GWh,2026,"  4,763,511.18 ","  1,449,905.97 ","  339,136.90 ","  125,804.52 ","  695,948.36 ","  285,592.76 ","  225,028.74 ","  547,679.67 ","  774,095.76 ","  198,216.96 ","  122,101.53 ",,,,
Climate Path Electricity Geneneration,Hydropower,GWh,2027,"  5,019,745.72 ","  1,498,784.14 ","  360,298.01 ","  136,895.88 ","  704,430.54 ","  328,443.94 ","  255,133.22 ","  585,670.20 ","  800,359.99 ","  218,379.71 ","  131,350.09 ",,,,
Climate Path Electricity Geneneration,Hydropower,GWh,2028,"  5,160,692.77 ","  1,535,378.28 ","  371,287.18 ","  141,492.25 ","  718,618.20 ","  338,014.07 ","  274,913.02 ","  594,841.88 ","  818,127.00 ","  231,310.79 ","  136,710.10 ",,,,
Climate Path Electricity Geneneration,Hydropower,GWh,2029,"  5,282,108.63 ","  1,548,316.42 ","  417,001.16 ","  148,884.29 ","  734,845.28 ","  342,861.87 ","  283,681.84 ","  593,557.11 ","  825,612.65 ","  247,827.46 ","  139,520.55 ",,,,
Climate Path Electricity Geneneration,Hydropower,GWh,2030,"  5,400,687.19 ","  1,565,161.95 ","  448,353.21 ","  154,908.07 ","  752,445.06 ","  348,358.12 ","  302,142.51 ","  592,167.37 ","  828,255.67 ","  264,145.77 ","  144,749.45 ",,,,
Climate Path Electricity Geneneration,Geothermal,GWh,2025,"  113,979.27 ",  200.13 ,  7.95 ,"  11,212.65 ","  24,689.14 ",  475.01 ,"  33,312.93 ","  10,794.30 ","  13,054.51 ","  9,494.46 ","  10,738.18 ",,,,
Climate Path Electricity Geneneration,Geothermal,GWh,2026,"  130,220.84 ",  641.65 ,  210.35 ,"  12,296.45 ","  26,450.19 ",  695.36 ,"  38,435.10 ","  11,396.19 ","  13,587.04 ","  15,052.94 ","  11,455.58 ",,,,
Climate Path Electricity Geneneration,Geothermal,GWh,2027,"  154,308.57 ","  4,668.66 ","  1,098.83 ","  16,467.54 ","  27,716.66 ","  3,001.33 ","  40,894.04 ","  13,920.48 ","  13,970.56 ","  18,382.79 ","  14,187.69 ",,,,
Climate Path Electricity Geneneration,Geothermal,GWh,2028,"  183,233.22 ","  12,324.52 ","  2,125.37 ","  25,920.71 ","  29,154.89 ","  6,562.60 ","  41,907.72 ","  16,839.73 ","  13,791.22 ","  18,867.14 ","  15,739.31 ",,,,
Climate Path Electricity Geneneration,Geothermal,GWh,2029,"  206,684.83 ","  18,950.00 ","  4,213.72 ","  35,140.48 ","  31,635.55 ","  8,245.91 ","  41,988.53 ","  17,933.57 ","  13,553.79 ","  18,778.02 ","  16,245.26 ",,,,
Climate Path Electricity Geneneration,Geothermal,GWh,2030,"  227,301.18 ","  23,219.52 ","  6,729.26 ","  41,145.02 ","  36,150.52 ","  9,607.13 ","  41,983.78 ","  19,983.08 ","  13,261.41 ","  18,699.10 ","  16,522.36 ",,,,
